Data;Cota (m);Caudal Afluente (m3/s);Caudal Efluente (m3/s);Precipitacao (mm);Evaporacao (mm);Volume Evaporado (mm3);Humidade Relativa (%)
2/11/2006;322,59;1207;2326;0;7,9;20,55;45
3/11/2006;322,57;1784;2343;0;6,5;11,21;39
4/11/2006;322,53;1301;2418;0;9;26,58;43
5/11/2006;322,46;463;2415;0;7,4;25,43;50
6/11/2006;322,33;1200;2413;0;7,4;20,61;54
7/11/2006;322,32;2147;2424;0,2;5;7,43;62
8/11/2006;322,27;1025;2410;13;4,7;18,72;84
9/11/2006;322,25;1800;2353;21,7;1,8;20,29;95
10/11/2006;322,2;966;2348;0,8;5,6;28,22;83
11/11/2006;322,17;1506;2335;0;6,3;19,89;78
12/11/2006;322,13;1247;2351;0;7,4;21,08;53
13/11/2006;322,14;2624;2348;0;7,6;22,29;48
14/11/2006;322,11;1521;2348;0;9;4,26;52
15/11/2006;322,03;149;2351;0;7,1;9,88;71
16/11/2006;322,07;3451;2350;0;8;0,95;61
17/11/2006;322,04;1531;2357;0;10,1;12,12;42
18/11/2006;322;1218;2317;0;11,2;16,84;61
19/11/2006;321,96;1226;2324;0;6,1;20,61;74
20/11/2006;321,92;1250;2347;0;6,5;18,1;77
21/11/2006;321,9;1819;2366;1,4;7,7;16,04;57
22/11/2006;321,86;1273;2367;0;8,2;15,84;63
23/11/2006;321,8;727;2367;0,6;6,4;19,22;65
24/11/2006;321,78;1806;2352;0;8,1;21,18;84
25/11/2006;321,73;1009;2372;0;6,2;13,29;77
26/11/2006;321,71;1824;2369;0;7,3;8,42;71
27/11/2006;321,66;909;2270;0;4,5;5,26;61
28/11/2006;321,63;1381;2196;6,5;5,7;15,42;83
29/11/2006;321,57;567;2196;0;5,3;11,06;77
30/11/2006;321,54;1393;2206;7,2;2,2;16,51;91
1/12/2006;321,49;839;2192;15,7;3,7;16,49;79
2/12/2006;321,47;1641;2182;0,7;2,7;20,21;91
3/12/2006;321,42;824;2175;0,5;4,7;13,96;87
4/12/2006;321,41;1899;2169;0;3;11,1;91
5/12/2006;321,38;1393;2202;0;4,8;17,38;84
6/12/2006;321,38;2204;2204;0;8,3;9,57;59
7/12/2006;321,34;1061;2138;5,7;4,4;9,03;85
8/12/2006;321,32;1663;2201;0;4,9;13,42;85
9/12/2006;321,3;1667;2205;23;7,2;16,67;56
10/12/2006;321,25;864;2208;0;5,4;15,67;80
11/12/2006;321,17;73;2219;0;5,8;14,76;78
12/12/2006;321,14;1708;2511;0;5,8;10,12;59
13/12/2006;321,15;2149;1882;0;3,7;8,21;83
14/12/2006;321,11;894;1964;26,2;0,8;5,39;100
15/12/2006;321,15;2980;1910;6,3;6;4,16;91
16/12/2006;321,11;893;1964;0;7,9;16,2;72
17/12/2006;321,09;1430;1964;0;7,1;12,86;78
18/12/2006;321,08;1702;1969;0;4,6;13;87
19/12/2006;321,05;1130;1931;0;4,8;11,03;84
20/12/2006;321,09;2828;1759;0;4,2;10,55;62
21/12/2006;321,09;1586;1586;40;1,9;12,9;91
22/12/2006;321,09;1698;1698;0;3,1;7,52;88
23/12/2006;321,08;1428;1695;34;3,5;17,95;92
24/12/2006;321,06;1070;1604;0;4,2;13,31;78
25/12/2006;321,08;2474;1940;2,6;0,8;17,19;91
26/12/2006;321,05;1009;1810;11,9;1,1;17,05;96
27/12/2006;321,06;2223;1956;40,4;2,7;12,3;87
28/12/2006;321,05;1671;1938;8,8;3,3;14,07;95
29/12/2006;321,06;2193;1926;0;4,1;5,68;88
30/12/2006;321,05;1687;1954;45,9;5,2;0,74;95
31/12/2006;321,04;1591;1858;4;0,2;6,8;97
1/1/2007;321,08;2915;1847;4;0,5;1,13;80
2/1/2007;321,07;1662;1929;15,2;2,7;6,32;62
3/1/2007;321,07;2135;2135;33,8;2,9;6,6;94
4/1/2007;321,06;2142;2409;26;4,5;10,31;99
5/1/2007;321,07;2699;2432;21,2;0,8;41,22;95
6/1/2007;321,11;3396;2327;6,7;3,1;7,2;87
7/1/2007;321,13;2495;1960;60;2;4,57;95
8/1/2007;321,12;1692;1960;8;5,2;12,02;87
9/1/2007;321,15;2762;1959;45,6;8,6;19,9;95
10/1/2007;321,21;3551;1943;72,9;3;7,01;83
11/1/2007;321,24;2746;1941;0,3;4,1;9,55;86
12/1/2007;321,29;3285;1942;0;5,6;12,88;76
13/1/2007;321,32;2738;1931;0;8,1;18,82;78
14/1/2007;321,36;3032;1955;0;2,4;5,49;84
15/1/2007;321,4;3031;1953;1,4;3,6;8,34;91
16/1/2007;321,43;3060;2250;3,9;5,8;13,62;80
17/1/2007;321,43;2611;2611;0;4,2;9,76;82
18/1/2007;321,46;3324;2514;8,5;1,9;4,43;91
19/1/2007;321,47;2882;2612;0;4,1;9,58;77
20/1/2007;321,56;4960;2523;49;3,3;7,65;95
21/1/2007;321,68;5866;2607;28,3;2,5;5,86;95
22/1/2007;321,75;4365;2458;1,4;5,3;12,52;90
23/1/2007;321,81;4197;2560;0;2,8;6,7;95
24/1/2007;321,92;5424;2415;0,4;6,4;15,15;80
25/1/2007;322,01;4872;2402;0;6,5;15,46;66
26/1/2007;322,05;3791;2691;0;3,6;8,48;64
27/1/2007;322,19;6457;2597;0,6;1,2;2,76;95
28/1/2007;322,26;4531;2595;11,9;2,4;5,66;95
29/1/2007;322,36;5363;2590;31,4;1,6;3,83;96
30/1/2007;322,53;7274;2542;1,8;1,9;4,57;92
31/1/2007;322,63;5939;3145;6,2;4,1;9,8;80
1/2/2007;322,71;5829;3587;19,7;3,2;7,69;88
2/2/2007;322,86;8009;3791;0;2,5;6,12;81
3/2/2007;322,97;7382;4372;3,1;4;9,77;87
4/2/2007;323,09;8004;4512;0;3,4;8,39;84
5/2/2007;323,28;10029;4624;0;4,5;10,96;82
6/2/2007;323,45;9936;5074;8,2;4,2;10,45;89
7/2/2007;323,55;9190;6319;42,4;3,1;7,74;74
8/2/2007;323,6;8342;6903;0;5,4;13,35;81
9/2/2007;323,6;8083;8083;0;2,8;7,07;71
10/2/2007;323,57;7217;8080;0;10,8;26,94;81
11/2/2007;323,54;6900;7762;0;2,3;5,71;78
12/2/2007;323,59;7435;5996;0;3,1;7,62;86
13/2/2007;323,55;4340;5490;12,4;1,8;4,42;95
14/2/2007;323,56;5863;5575;20,4;3,2;8;73
15/2/2007;323,58;6222;5646;0;6;14,82;77
16/2/2007;323,59;5642;5354;0;7,6;18,85;63
17/2/2007;323,56;3831;4695;0;5,9;14,76;70
18/2/2007;323,61;5042;3603;0;6,5;16,17;80
19/2/2007;323,64;4184;3319;0;4;10,06;71
20/2/2007;323,68;3711;2558;2;0,8;2,07;85
21/2/2007;323,73;3980;2535;0;6,8;17,04;95
22/2/2007;323,75;3116;2537;3,4;7;17,59;74
23/2/2007;323,78;3224;2356;0;8;20;72
24/2/2007;323,84;4298;2560;29;1,5;3,76;96
25/2/2007;323,91;4596;2564;39,4;1,9;4,87;92
26/2/2007;323,96;3841;2387;0;1,9;4,72;93
27/2/2007;323,97;2670;2379;16,2;3,7;9,28;92
28/2/2007;324,05;4457;2126;0,5;5;12,57;85
1/3/2007;324,1;3714;2254;0;4,4;11,2;77
2/3/2007;324,2;4810;1884;0;7,7;19,41;77
3/3/2007;324,28;4212;1865;0;5,4;13,58;77
4/3/2007;324,38;4828;1887;0;5,4;13,74;71
5/3/2007;324,45;3963;1899;0;8,7;22,03;67
6/3/2007;324,52;3955;1887;16,9;0,9;2,19;87
7/3/2007;324,57;3318;1838;0,4;4,4;11,37;81
8/3/2007;324,69;5296;1736;1,3;0,2;0,41;95
9/3/2007;324,78;4644;1966;6,2;4,6;11,88;91
10/3/2007;324,84;4099;2310;5,2;4,4;11,31;87
11/3/2007;324,95;5073;1785;0,5;1,4;3,49;89
12/3/2007;325,03;4099;1701;0;5,3;13,62;84
13/3/2007;325,08;3513;2011;0;4,2;10,8;91
14/3/2007;325,11;2792;1890;0;4,9;12,68;86
15/3/2007;325,2;4370;1659;0;5,4;14;83
16/3/2007;325,27;3583;1470;0;7,7;20,14;71
17/3/2007;325,31;2680;1471;0;8,2;21,32;79
18/3/2007;325,35;2701;1490;0;3,7;9,73;78
19/3/2007;325,42;3609;1487;0;3,7;9,59;74
20/3/2007;325,47;3006;1488;0;5,6;14,8;71
21/3/2007;325,5;2373;1461;0;7,4;19,55;70
22/3/2007;325,56;3316;1489;0;5,6;14,78;64
23/3/2007;325,58;2101;1491;0;8;21,11;88
24/3/2007;325,58;1584;1584;0;4,3;11,38;76
25/3/2007;325,6;2225;1615;1,2;1,7;4,43;92
26/3/2007;325,61;2168;1863;2,3;2,9;7,75;96
27/3/2007;325,64;2779;1863;0;6,5;17,2;76
28/3/2007;325,63;1557;1863;0;5,4;14,35;66
29/3/2007;325,64;2168;1863;0;6,3;16,62;84
30/3/2007;325,65;2168;1862;0;8,2;21,64;76
31/3/2007;325,65;1862;1862;0;4;10,42;83
1/4/2007;325,68;2748;1832;3,1;3;7,89;95
2/4/2007;325,66;1251;1862;3,1;3,3;8,61;92
3/4/2007;325,67;2152;1846;2,2;3,2;8,5;99
4/4/2007;325,67;1861;1861;0;4,8;12,75;87
5/4/2007;325,7;2726;1808;0;4,1;10,74;86
6/4/2007;325,66;638;1861;0;6,5;17,27;98
7/4/2007;325,61;335;1862;0;7;18,53;77
8/4/2007;325,65;3082;1860;21,3;3,7;9,66;87
9/4/2007;325,65;1860;1860;0;4,3;11,45;75
10/4/2007;325,61;556;1777;0;4,8;12,61;75
11/4/2007;325,61;1757;1757;0;5,2;13,79;79
12/4/2007;325,59;1197;1807;0;6;15,79;74
13/4/2007;325,55;642;1861;0;8,5;22,35;81
14/4/2007;325,58;2775;1861;29,8;3,6;9,59;95
15/4/2007;325,58;1863;1863;0;3,8;9,93;79
16/4/2007;325,55;948;1862;0;4,6;12,08;73
17/4/2007;325,54;1558;1863;0;4,2;11,13;89
18/4/2007;325,52;1254;1863;0;4,3;11,39;87
19/4/2007;325,53;2167;1862;2,4;3,5;9,2;97
20/4/2007;325,5;950;1863;0;6,7;17,72;93
21/4/2007;325,5;1837;1837;0;5,2;13,72;80
22/4/2007;325,5;1619;1619;0;4,5;11,93;77
23/4/2007;325,45;201;1721;0;4,8;12,66;77
24/4/2007;325,45;1863;1863;0;5,9;15,49;78
25/4/2007;325,44;1528;1832;0;4,6;12,12;73
26/4/2007;325,44;1778;1778;0;6,1;16,08;51
27/4/2007;325,43;1561;1864;0;5,5;14,32;62
28/4/2007;325,41;1238;1845;0;4,5;11,7;82
29/4/2007;325,38;917;1827;0;8,2;21,41;72
30/4/2007;325,37;1537;1840;0;4,8;12,57;70
1/5/2007;325,37;1814;1814;0;4,8;12,46;77
2/5/2007;325,35;1263;1868;0;3,8;9,94;84
3/5/2007;325,33;1267;1873;0;2;5,23;95
4/5/2007;325,31;1142;1747;0;2,4;6,27;73
5/5/2007;325,29;1268;1873;0;4,2;10,95;59
6/5/2007;325,3;2174;1872;0;6,3;16,38;63
7/5/2007;325,27;965;1872;0;3,9;10,21;81
8/5/2007;325,26;1569;1871;0;3,2;8,45;83
9/5/2007;325,23;964;1869;0;3,4;8,79;83
10/5/2007;325,23;1869;1869;0;2,7;6,94;87
11/5/2007;325,2;965;1870;0;7,1;18,45;81
12/5/2007;325,23;2767;1862;0;3,4;8,91;81
13/5/2007;325,2;862;1767;0;3,2;8,24;81
14/5/2007;325,19;1618;1919;0;4,1;10,71;55
15/5/2007;325,21;2477;1874;0;6,7;17,49;63
16/5/2007;325,2;1383;1685;0;5,5;14,39;60
17/5/2007;325,22;2430;1827;0;3,3;8,65;80
18/5/2007;325,2;1413;2016;0;5,9;15,42;65
19/5/2007;325,21;1936;1634;0;7;18,34;60
20/5/2007;325,22;2009;1707;0;4,4;11,49;64
21/5/2007;325,21;1521;1822;0;5,6;14,67;88
22/5/2007;325,17;493;1699;0;7,2;18,76;53
23/5/2007;325,16;1625;1927;0;6;15,51;83
24/5/2007;325,14;1162;1765;0;3,6;9,31;91
25/5/2007;325,17;2189;1286;0;3,7;9,61;85
26/5/2007;325,15;1394;1996;0;4,7;12,23;79
27/5/2007;325,14;1566;1868;0;2,4;6,19;77
28/5/2007;325,14;1867;1867;0;4,9;12,8;81
29/5/2007;325,14;1887;1887;0;4,1;10,61;65
30/5/2007;325,16;2274;1672;0;3,2;8,33;82
31/5/2007;325,19;1638;734;0;3,4;8,8;52
1/6/2007;325,18;1258;1559;0;6,4;16,56;79
2/6/2007;325,18;1887;1887;3,2;2,8;7,18;97
3/6/2007;325,16;1285;1888;0;4,3;11,19;85
4/6/2007;325,18;2467;1865;0;3,1;7,96;79
5/6/2007;325,16;1289;1892;0;3;7,86;89
6/6/2007;325,17;2242;1940;0;3,4;8,75;78
7/6/2007;325,16;1745;2047;0;5,7;14,73;63
8/6/2007;325,17;2197;1896;0;4,5;11,76;68
9/6/2007;325,15;1310;1913;0;3,5;9,21;65
10/6/2007;325,15;1911;1911;0;3,8;9,84;82
11/6/2007;325,13;1256;1858;0;5,1;13,22;74
12/6/2007;325,12;1609;1910;0;4,1;10,61;82
13/6/2007;325,13;2199;1899;0;4,7;12,27;65
14/6/2007;325,13;1736;1736;0;3,2;8,37;72
15/6/2007;325,12;1480;1781;0;0,5;1,2;95
16/6/2007;325,09;756;1659;0;5,5;14,39;73
17/6/2007;325,11;2268;1666;0;1,3;3,43;81
18/6/2007;325,13;2383;1781;0;3,4;8,94;75
19/6/2007;325,1;994;1897;0;4,7;12,16;77
20/6/2007;325,09;1589;1889;0;2,1;5,45;78
21/6/2007;325,08;1593;1894;1,1;3,3;8,51;94
22/6/2007;325,05;982;1883;0;4,2;10,85;91
23/6/2007;325,03;702;1302;1;7,3;18,82;95
24/6/2007;325,07;2826;1625;6;0,7;1,9;95
25/6/2007;325,08;2024;1724;0;0,6;1,56;91
26/6/2007;325,09;1856;1555;0;4,2;11,01;69
27/6/2007;325,1;1777;1476;0;4,1;10,55;67
28/6/2007;325,09;1154;1454;0;7,3;18,87;47
29/6/2007;325,11;2077;1476;0;7;18,13;44
30/6/2007;325,11;1621;1621;0;3,6;9,25;73
1/7/2007;325,11;1711;1711;0;3,4;8,78;87
2/7/2007;325,06;348;1851;0;3,9;10,05;70
3/7/2007;325,08;2409;1808;8,9;0,7;1,25;80
4/7/2007;325,09;2127;1827;1,1;2,5;6,49;86
5/7/2007;325,08;1539;1839;0;2,2;5,76;78
6/7/2007;325,07;1792;2092;0;5;12,9;87
7/7/2007;325,05;1270;1871;0;4,3;11,08;62
8/7/2007;325,03;1309;1910;0;5,3;13,67;59
9/7/2007;324,99;708;1907;0;5,5;14,13;45
10/7/2007;325,01;2508;1909;0;2,2;5,6;83
11/7/2007;325,01;1521;1521;0;3;7,67;85
12/7/2007;325,01;1909;1909;0;7,3;18,87;80
13/7/2007;324,96;403;1901;0;8,2;21,37;67
14/7/2007;324,99;2778;1879;0;1,4;3,68;85
15/7/2007;324,99;1834;1834;0;2,7;7,14;84
16/7/2007;324,99;1887;1887;1,7;3,3;8,57;98
17/7/2007;324,96;898;1797;0;3;7,76;90
18/7/2007;324,98;2457;1858;0;4;10,32;91
19/7/2007;324,96;1238;1837;0;3,5;8,95;82
20/7/2007;324,95;1709;2009;0;5,3;13,66;78
21/7/2007;324,94;1685;1984;0;4,5;11,74;84
22/7/2007;324,93;1551;1851;0;4,3;11,22;78
23/7/2007;324,92;1531;1830;0;4,1;10,7;71
24/7/2007;324,92;1938;1938;0;4,5;11,53;82
25/7/2007;324,91;1715;2015;0;4,7;12,25;95
26/7/2007;324,9;1480;1779;0;4,5;11,74;58
27/7/2007;324,9;1778;1778;0;7,9;20,42;56
28/7/2007;324,91;2077;1778;0;7,2;18,51;32
29/7/2007;324,92;2097;1798;0;4,6;11,78;50
30/7/2007;324,86;197;1596;0;6,1;15,65;74
31/7/2007;324,87;2243;1945;0;3,6;9,34;85
1/8/2007;324,86;1493;1792;0;4,6;11,92;65
2/8/2007;324,85;1496;1795;0;6,1;15,73;71
3/8/2007;324,85;1799;1799;0;8,5;22,03;49
4/8/2007;324,83;1179;1776;0;7,4;19;66
5/8/2007;324,78;360;1851;0;5;12,96;57
6/8/2007;324,77;1870;2168;1,1;3,5;9,06;97
7/8/2007;324,77;2291;2291;1;3,9;9,99;75
8/8/2007;324,73;999;2190;0;5,7;14,76;75
9/8/2007;324,71;1554;2149;0;2,9;7,43;90
10/8/2007;324,7;1952;2249;0;8,8;22,56;70
11/8/2007;324,69;1962;2260;0;4,9;12,69;52
12/8/2007;324,68;1937;2234;0;5,4;13,91;55
13/8/2007;324,65;1335;2226;0;5,7;14,54;48
14/8/2007;324,63;1698;2292;0;4,3;11,05;64
15/8/2007;324,62;1960;2257;0;6,9;17,78;53
16/8/2007;324,59;1359;2248;0;6,6;16,9;45
17/8/2007;324,52;222;2294;0;5,1;13,09;95
18/8/2007;324,5;1510;2101;0;3,9;9,93;81
19/8/2007;324,49;2005;2301;0;5;12,74;86
20/8/2007;324,45;1285;2467;0;7,4;18,99;72
21/8/2007;324,44;2084;2379;0;6,8;17,21;66
22/8/2007;324,43;1757;2052;0;5,2;13,22;56
23/8/2007;324,41;1464;2054;0;5,8;14,67;68
24/8/2007;324,37;882;2061;0;10,1;25,65;48
25/8/2007;324,35;1684;2273;0;7,8;19,71;50
26/8/2007;324,3;952;2422;0;5,1;12,93;63
27/8/2007;324,26;1139;2314;0;5,4;13,75;70
28/8/2007;324,23;1597;2478;0;7,7;19,47;52
29/8/2007;324,21;1886;2473;0;5,8;14,58;68
30/8/2007;324,16;1079;2543;0;7;17,81;66
31/8/2007;324,11;1053;2516;0;9,9;25,07;66
1/9/2007;324,08;1579;2455;0;7,8;19,56;60
2/9/2007;324,04;1283;2450;0;7,3;18,46;42
3/9/2007;324;1315;2481;0;8;20,1;54
4/9/2007;323,97;1557;2431;0;6;15,1;63
5/9/2007;323,93;1180;2344;0;7,5;18,81;76
6/9/2007;323,91;1773;2354;0;9,6;24,07;61
7/9/2007;323,86;1057;2509;0;8,2;20,57;77
8/9/2007;323,83;1638;2509;0;7,6;19,05;52
9/9/2007;323,79;1399;2558;0;6,3;15,82;48
10/9/2007;323,76;1679;2548;0;7,8;19,53;53
11/9/2007;323,72;1389;2546;0;8;19,86;60
12/9/2007;323,68;1375;2531;0;7,6;19,06;55
13/9/2007;323,65;1629;2494;0;11,8;29,51;73
14/9/2007;323,6;1089;2530;0;12,7;31,62;66
15/9/2007;323,59;2230;2518;0;7,1;17,58;73
16/9/2007;323,55;1344;2495;0;6,9;17,12;47
17/9/2007;323,49;741;2465;0;7,9;13,19;61
18/9/2007;323,45;1357;2505;0;5,2;12,98;75
19/9/2007;323,41;1369;2515;0;3,6;8,81;90
20/9/2007;323,37;1422;2567;0;7,9;19,59;71
21/9/2007;323,36;2023;2309;0;9;22,23;62
22/9/2007;323,35;1891;2177;0;8;19,67;61
23/9/2007;323,32;1377;2234;0;9,7;23,86;52
24/9/2007;323,28;1085;2227;0;10;24,77;61
25/9/2007;323,21;285;2280;0;4,9;12,06;72
26/9/2007;323,18;1430;2284;0;6,1;14,93;79
27/9/2007;323,19;2601;2317;0;6,6;16,15;73
28/9/2007;323,16;1438;2291;0;11,3;19,56;60
29/9/2007;323,16;2278;2278;0;7,8;19,16;69
30/9/2007;323,13;1406;2259;0;9,3;22,77;42
1/10/2007;323,1;1216;2068;0;7,5;18,46;69
2/10/2007;323,07;1374;2225;0;7,4;18,08;59
3/10/2007;323,04;1347;2198;0;10,3;25,2;40
4/10/2007;323,03;1895;2179;0;13,8;33,83;44
5/10/2007;323,01;1429;1995;0;13,9;34;60
6/10/2007;322,99;1479;2045;0;9,9;24,25;52
7/10/2007;322,97;1661;2227;0;10,3;25,07;38
8/10/2007;322,94;1306;2154;0;10,9;26,52;28
9/10/2007;322,93;1771;2053;0;10,8;26,37;43
10/10/2007;322,88;709;2120;0;7,9;19,24;45
11/10/2007;322,86;1681;2244;0;6,9;16,79;68
12/10/2007;322,83;1399;2244;0;8,8;21,28;68
13/10/2007;322,81;1626;2189;0;9,2;22,47;53
14/10/2007;322,8;1720;2001;0;8,4;20,51;57
15/10/2007;322,78;1665;2228;0;9,9;23,93;61
16/10/2007;322,74;1089;2213;0;8,9;21,59;66
17/10/2007;322,73;1910;2190;0;8;19,4;73
18/10/2007;322,68;827;2230;0;9,6;23,2;46
19/10/2007;322,65;1486;2327;0;11;26,65;51
20/10/2007;322,56;186;2331;0;8,5;20,63;60
21/10/2007;322,56;2324;2324;0;5,9;14,35;71
22/10/2007;322,53;1427;2264;0;8;19,41;53
23/10/2007;322,52;2019;2298;0;7,5;18,16;76
24/10/2007;322,49;1498;2334;0;8,6;20,78;43
25/10/2007;322,45;1136;2250;0;7;16,92;51
26/10/2007;322,43;1345;1901;1;4,4;10,67;95
27/10/2007;322,39;1459;2571;2,8;3,1;7,49;70
28/10/2007;322,34;999;2388;0;8;19,24;50
29/10/2007;322,3;1338;2447;0;8;19,21;65
30/10/2007;322,24;904;2566;0;8,4;20,05;69
31/10/2007;322,15;104;2591;0;8,8;21,06;58
1/11/2007;322,11;1480;2582;0;7,7;18,28;59
2/11/2007;322,05;941;2593;0;10,5;24,89;62
3/11/2007;322;1219;2593;0;7,1;16,92;45
4/11/2007;321,96;1499;2597;0;10,2;24,28;46
5/11/2007;321,98;3144;2595;0;7,4;17,51;37
6/11/2007;321,87;450;2564;5,4;6,8;16,02;57
7/11/2007;321,78;78;2537;0;4,9;11,6;53
8/11/2007;321,8;3113;2567;14,3;6,4;15,17;66
9/11/2007;321,75;1221;2586;0,2;7,6;17,92;64
10/11/2007;321,73;2023;2568;0;3,7;8,63;53
11/11/2007;321,6;848;2687;2,8;2,3;5,38;54
12/11/2007;321,61;2671;2399;5,6;3;7,06;95
13/11/2007;321,56;891;2247;0,1;5,4;12,68;95
14/11/2007;321,53;1625;2438;0;6,9;16,06;84
15/11/2007;321,51;2346;2887;0;7,6;17,78;58
16/11/2007;321,39;370;2872;0;9,6;22,33;51
17/11/2007;321,39;2484;2484;0;7,2;16,87;67
18/11/2007;321,33;548;2165;0;6,1;14,3;64
19/11/2007;321,33;2171;2171;0;5,9;13,63;78
20/11/2007;321,29;1098;2174;0;7,6;17,63;48
21/11/2007;321,26;1368;2174;0;7;16,26;47
22/11/2007;321,23;1361;2166;0;10,8;25,03;39
23/11/2007;321,2;1390;2195;0;13,1;30,46;38
24/11/2007;321,18;1535;2071;0;8,5;19,7;48
25/11/2007;321,16;1657;2193;0;9,8;22,7;51
26/11/2007;321,12;1179;2249;23,2;10,1;23,31;83
27/11/2007;321,08;1452;2521;0;4,1;9,49;76
28/11/2007;321,04;1230;2298;0;1,8;4,04;93
29/11/2007;321;1113;2179;5,9;3,8;8,78;82
30/11/2007;320,98;1536;2069;2,9;6,1;13,96;86
1/12/2007;320,99;2096;1830;0;5,4;12,41;87
2/12/2007;320,94;514;1845;0;5,8;13,42;80
3/12/2007;320,96;2385;1852;0;5,1;11,78;83
4/12/2007;320,93;1049;1847;0;6;13,76;51
5/12/2007;320,94;2212;1946;0;5,5;12,61;80
6/12/2007;320,93;1916;2182;0,5;8,1;18,53;73
7/12/2007;320,91;1721;2253;26,1;5,1;11,62;88
8/12/2007;320,85;725;2318;0,4;6,6;15,06;90
9/12/2007;320,87;2820;2289;32,7;2,8;6,52;95
10/12/2007;320,87;2350;2350;0,3;3,9;8,95;73
11/12/2007;320,88;2633;2368;1,2;3,2;7,3;85
12/12/2007;320,85;1711;2507;0,5;5,7;13,11;65
13/12/2007;320,85;2863;2863;9,9;1,1;2,43;88
14/12/2007;320,86;3112;2847;4,8;3,8;8,71;79
15/12/2007;320,84;2316;2846;0,4;5,8;13,25;83
16/12/2007;320,78;1242;2832;24,9;5;11,5;76
17/12/2007;320,78;2851;2851;0;4,5;10,25;65
18/12/2007;320,67;64;2844;1,1;5,5;12,66;67
19/12/2007;320,66;2937;3201;82,5;1,3;2,85;99
20/12/2007;320,8;7041;3340;16,2;1;2,38;100
21/12/2007;320,81;4557;4292;5,3;3,5;8,04;96
22/12/2007;320,78;3796;4591;1,4;2,8;6,47;92
23/12/2007;320,7;2398;4513;23,4;2;4,48;95
24/12/2007;320,65;3228;4547;0;1,3;2,92;85
25/12/2007;320,6;3187;4504;10,5;4,6;10,4;82
26/12/2007;320,54;2936;4514;0;3,8;8,61;81
27/12/2007;320,5;3326;4377;4,7;4,1;9,39;80
28/12/2007;320,46;2813;3863;11,1;4,3;9,7;76
29/12/2007;320,61;7397;3455;5,6;1,7;3,91;94
30/12/2007;320,73;6785;3618;2,9;3;6,93;89
31/12/2007;320,73;4385;4385;0;3,4;7,76;83
1/1/2008;320,78;5707;4384;0,1;1,9;4,39;80
2/1/2008;320,85;6216;4361;0;1,9;4,44;84
3/1/2008;320,85;4724;4724;4,1;7,1;16,37;75
4/1/2008;320,82;5813;6609;37,2;3,8;8,71;80
5/1/2008;320,92;7617;4962;64,5;3,5;8,04;82
6/1/2008;320,97;6610;5279;0,5;3,2;7,41;77
7/1/2008;320,99;6685;6152;4,2;2,1;4,83;83
8/1/2008;320,95;5509;6574;5,3;3,7;8,6;81
9/1/2008;320,87;4458;6584;0;1,4;3,17;76
10/1/2008;320,81;5039;6630;4,6;4;9,11;98
11/1/2008;320,78;5700;6494;44,2;4,4;10,02;91
12/1/2008;320,84;7755;6165;88,4;2,5;5,67;86
13/1/2008;320,81;5387;6182;6,4;4,3;9,76;82
14/1/2008;320,83;6239;5709;24,2;4,5;10,22;78
15/1/2008;320,87;6265;5203;4,9;3,9;8,97;93
16/1/2008;320,92;6493;5165;24;3,1;7;77
17/1/2008;320,94;5190;4659;0,3;5,6;12,8;69
18/1/2008;321,01;5944;4080;0;7;16,08;92
19/1/2008;321,07;5218;3617;17,1;2,3;5,39;86
20/1/2008;321,12;5007;3671;1,2;3,5;8,08;94
21/1/2008;321,15;5348;4545;21,2;4,7;10,84;96
22/1/2008;321,18;5735;4932;29,4;3,2;7,5;92
23/1/2008;321,19;4565;4297;0,6;3,3;7,68;83
24/1/2008;321,21;4146;3609;0,4;4;9,36;77
25/1/2008;321,29;5607;3459;35,4;0,1;0,28;99
26/1/2008;321,38;6645;4221;4,2;7,6;17,69;94
27/1/2008;321,53;9450;5397;15,4;3,9;9,12;95
28/1/2008;321,61;8115;5946;15,5;2,1;4,87;96
29/1/2008;321,71;8674;5955;8,8;3,1;7,38;95
30/1/2008;321,82;8964;5964;0,3;4,7;11,03;92
31/1/2008;321,98;10364;5982;28,3;4,1;9,71;90
1/2/2008;322,06;7992;5793;0,2;4,5;10,59;84
2/2/2008;322,17;6921;3889;1,5;6,3;15,06;78
3/2/2008;322,34;8524;3819;0;5,3;12,63;72
4/2/2008;322,44;6671;3892;0;4,8;11,52;73
5/2/2008;322,53;6370;3862;0;6,4;15,4;84
6/2/2008;322,62;6376;3862;0;4,4;10,67;64
7/2/2008;322,74;7408;4045;0;4,4;10,65;78
8/2/2008;322,8;5704;4018;0;7,1;17,34;73
9/2/2008;322,87;5958;3987;3,6;4,8;11,73;85
10/2/2008;322,94;6040;4065;6,8;1;2,44;94
11/2/2008;323,04;6897;4068;6,1;4,7;11,59;81
12/2/2008;323,12;6236;3967;0;4,6;11,22;70
13/2/2008;323,18;5572;3867;0;6,3;15,42;54
14/2/2008;323,24;5418;3709;0;5,1;12,44;54
15/2/2008;323,3;4951;3240;0;7,7;18,93;69
16/2/2008;323,35;4751;3323;0;6,1;15,16;82
17/2/2008;323,41;4762;3046;0;6,1;15,19;72
18/2/2008;323,49;5282;2989;0;5,4;13,38;81
19/2/2008;323,57;4330;2031;3,6;3,6;8,99;90
20/2/2008;323,63;3623;1895;0;6,3;15,73;65
21/2/2008;323,72;4446;1848;15,4;4,9;12,12;75
