No;Source;Channel;H(m);W(m);U(m/s);U*(m/s);D1(m2/s);W/H;U/U*;U*/U;D1/HU*;Dataset
57;Nordin_and_Sabol_(1974);Bayou_Anacoco_LA*;0.5;17.5;0.32;0.02;5.8;39.0;13.33;0.08;537;C
58;Nordin_and_Sabol_(1974);Comite_River_LA°;0.2;15.7;0.36;0.04;69.0;68.3;9.23;0.11;7692;C
59;Nordin_and_Sabol_(1974);Bayou_Bartholomew_LA*;1.4;33.4;0.20;0.03;54.7;23.8;6.45;0.16;1260;M
60;Nordin_and_Sabol_(1974);Amite_River_LA*;0.5;21.3;0.54;0.03;501.4;41.0;20.00;0.05;35712;M
61;Nordin_and_Sabol_(1974);Tickfau_River_LA°;0.6;14.9;0.27;0.08;10.3;25.3;3.38;0.30;218;C
62;Nordin_and_Sabol_(1974);Tangipahoa_River_LA*;0.8;31.4;0.48;0.07;45.1;38.8;6.67;0.15;773;C
63;Nordin_and_Sabol_(1974);Tangipahoa_River_LA*;0.4;29.9;0.34;0.02;44.0;74.7;17.00;0.06;5500;M
64;Nordin_and_Sabol_(1974);Red_River_LA*;1.6;253.6;0.61;0.03;143.8;156.5;19.06;0.05;2774;M
65;Nordin_and_Sabol_(1974);Red_River_LA*;4.0;161.5;0.29;0.06;130.5;40.8;4.83;0.21;549;C
66;Nordin_and_Sabol_(1974);Red_River_LA*;3.7;152.4;0.45;0.06;227.6;41.6;7.89;0.13;1091;C
67;Nordin_and_Sabol_(1974);Red_River_LA*;1.7;155.1;0.47;0.04;177.7;89.2;13.06;0.08;2837;C
68;Nordin_and_Sabol_(1974);Sabine_River_LA°;1.7;116.4;0.58;0.05;131.3;70.6;10.74;0.09;1474;C
69;Nordin_and_Sabol_(1974);Sabine_River_LA°;2.3;160.3;1.06;0.05;308.9;69.1;19.63;0.05;2466;M
70;Nordin_and_Sabol_(1974);Sabine_River_TX°;0.5;14.2;0.13;0.04;12.8;28.3;3.51;0.28;692;C
71;Nordin_and_Sabol_(1974);Sabine_River_TX°;0.5;12.2;0.23;0.03;14.7;23.9;7.67;0.13;961;C
72;Nordin_and_Sabol_(1974);Sabine_River_TX°;0.9;21.3;0.36;0.04;24.2;22.9;10.29;0.10;743;M
73;Nordin_and_Sabol_(1974);Mississippi_River_LA*;19.9;711.2;0.56;0.04;237.2;35.7;13.66;0.07;290;M
74;Nordin_and_Sabol_(1974);Mississippi_River_MO*;4.9;533.4;1.05;0.07;457.7;108.0;15.22;0.07;1343;C
75;Nordin_and_Sabol_(1974);Mississippi_River_MO*;8.9;537.4;1.51;0.10;374.1;60.4;15.57;0.06;433;M
76;Nordin_and_Sabol_(1974);Wind/Bighom_River_WY°;1.4;44.2;0.99;0.14;184.6;32.3;6.97;0.14;949;C
77;Nordin_and_Sabol_(1974);Wind/Bighom_River_WY°;2.4;85.3;1.74;0.15;464.6;35.9;11.37;0.09;1276;CC
78;Godfrey_and_Frederick_(1970);Copper_Creek_VA°;0.5;16.7;0.20;0.08;16.8;34.0;2.50;0.40;430;CC
79;Godfrey_and_Frederick_(1970);Clinch_River_VA°;1.2;48.5;0.21;0.07;14.8;41.8;3.04;0.33;184;M
80;Godfrey_and_Frederick_(1970);Copper_Creek_VA*;0.4;18.3;0.15;0.12;20.7;48.1;1.29;0.77;470;M
81;Godfrey_and_Frederick_(1970);Powell_River_TN°;0.9;36.8;0.13;0.05;15.5;42.3;2.41;0.42;330;CC
82;Godfrey_and_Frederick_(1970);Clinch_River_VA°;0.6;28.7;0.35;0.07;10.7;47.0;5.07;0.20;254;CC
83;Godfrey_and_Frederick_(1970);Copper_Creek_VA°;0.8;19.6;0.49;0.10;20.8;23.3;4.85;0.21;245;CC
84;Godfrey_and_Frederick_(1970);Clinch_River_VA*;2.5;57.9;0.75;0.10;40.5;23.6;7.21;0.14;159;M
85;Godfrey_and_Frederick_(1970);Conchella_Canal_CA*;1.6;24.7;0.66;0.04;5.9;15.6;16.10;0.06;91;CC
86;Godfrey_and_Frederick_(1970);Clinch_River_VA*;2.4;53.2;0.66;0.11;36.9;22.1;6.17;0.16;143;CC
87;Godfrey_and_Frederick_(1970);Copper_Creek_VA*;0.5;16.8;0.24;0.08;24.6;35.7;3.00;0.33;655;CC
88;Yotsukura_et_al_(1970);Missoury_River_IA°;3.3;180.6;1.62;0.08;1486.5;55.1;20.77;0.05;5810;CC
89;McQuivey_and_Keefer_(1974);Bayou_Anacoco_LA*;0.9;25.9;0.34;0.07;32.5;27.6;5.07;0.20;516;CC
90;McQuivey_and_Keefer_(1974);Bayou_Anacoco_LA*;0.9;36.6;0.40;0.07;39.5;40.2;5.97;0.17;648;CC
91;McQuivey_and_Keefer_(1974);Nooksack_River_WA;0.8;64.0;0.67;0.27;34.8;84.2;2.50;0.40;171;CC
92;McQuivey_and_Keefer_(1974);Wind/Bighorn_River_WY*;1.1;59.4;0.88;0.12;41.8;54.0;7.39;0.14;319;CC
93;McQuivey_and_Keefer_(1974);Wind/Bighorn_River_WY*;2.2;68.6;1.55;0.17;162.6;31.8;9.23;0.11;448;CC
94;McQuivey_and_Keefer_(1974);John_Day_River_OR*;2.5;34.1;0.82;0.18;65.0;13.8;4.56;0.22;146;CC
95;McQuivey_and_Keefer_(1974);Yadkin_River_NC*;2.4;70.1;0.43;0.10;111.5;29.8;4.26;0.23;470;CC
96;McQuivey_and_Keefer_(1974);Yadkin_River_NC*;3.8;71.6;0.76;0.13;260.1;18.7;5.94;0.17;529;CC
